Country,Year,Population
Japan,1817,30890005
Japan,1818,30924485
Japan,1819,30958865
Japan,1820,30993147
Japan,1821,31027329
Japan,1822,31061412
Japan,1823,31095395
Japan,1824,31129277
Japan,1825,31163059
Japan,1826,31196741
Japan,1827,31230322
Japan,1828,31263801
Japan,1829,31297179
Japan,1830,31330455
Japan,1831,31363629
Japan,1832,31396839
Japan,1833,31430083
Japan,1834,31463363
Japan,1835,31496678
Japan,1836,31530028
Japan,1837,31563414
Japan,1838,31596835
Japan,1839,31630291
Japan,1840,31663783
Japan,1841,31701299
Japan,1842,31742858
Japan,1843,31788480
Japan,1844,31838183
Japan,1845,31891986
Japan,1846,31949909
Japan,1847,32011971
Japan,1848,32078191
Japan,1849,32148589
Japan,1850,32223184
Japan,1851,32302860
Japan,1852,32386776
Japan,1853,32474953
Japan,1854,32567412
Japan,1855,32664173
Japan,1856,32765255
Japan,1857,32870679
Japan,1858,32980467
Japan,1859,33094638
Japan,1860,33213212
Japan,1861,33340232
Japan,1862,33471705
Japan,1863,33607611
Japan,1864,33745739
Japan,1865,33887782
Japan,1866,34037342
Japan,1867,34195731
Japan,1868,34362549
Japan,1869,34535154
Japan,1870,34713907
Japan,1871,34901408
Japan,1872,35097493
Japan,1873,35264292
Japan,1874,35480054
Japan,1875,35708897
Japan,1876,35946425
Japan,1877,36159174
Japan,1878,36413926
Japan,1879,36675630
Japan,1880,36947591
Japan,1881,37209259
Japan,1882,37507373
Japan,1883,37818047
Japan,1884,38114592
Japan,1885,38428594
Japan,1886,38747386
Japan,1887,39067036
Japan,1888,39394501
Japan,1889,39721710
Japan,1890,40053760
Japan,1891,40397840
Japan,1892,40764874
Japan,1893,41155409
Japan,1894,41554702
Japan,1895,41957657
Japan,1896,42376107
Japan,1897,42820976
Japan,1898,43291538
Japan,1899,43782152
Japan,1900,44282076
Japan,1901,44779569
Japan,1902,45292393
Japan,1903,45799428
Japan,1904,46316282
Japan,1905,46847851
Japan,1906,47389464
Japan,1907,47847957
Japan,1908,48387866
Japan,1909,48987699
Japan,1910,49640048
Japan,1911,50306521
Japan,1912,51027052
Japan,1913,51756637
Japan,1914,52486928
Japan,1915,53203902
Japan,1916,53886854
Japan,1917,54476676
Japan,1918,54956379
Japan,1919,55417532
Japan,1920,55953151
Japan,1921,56606312
Japan,1922,57313904
Japan,1923,58047208
Japan,1924,58819581
Japan,1925,59672097
Japan,1926,60588393
Japan,1927,61536411
Japan,1928,62456047
Japan,1929,63382026
Japan,1930,64331715
Japan,1931,65315130
Japan,1932,66309899
Japan,1933,67273278
Japan,1934,68291422
Japan,1935,69289530
Japan,1936,70354089
Japan,1937,71235991
Japan,1938,71968293
Japan,1939,72532295
Japan,1940,73242224
Japan,1941,74132140
Japan,1942,75146610
Japan,1943,76206161
Japan,1944,76605204
Japan,1945,77003913
Japan,1946,77318138
Japan,1947,78630805
Japan,1948,80224305
Japan,1949,81586884
Japan,1950,82802084
Japan,1951,84315601
Japan,1952,85658683
Japan,1953,86869425
Japan,1954,87980318
Japan,1955,89018257
Japan,1956,90004313
Japan,1957,90953954
Japan,1958,91877704
Japan,1959,92782224
Japan,1960,93673615
Japan,1961,94560845
Japan,1962,95458881
Japan,1963,96389953
Japan,1964,97379848
Japan,1965,98447002
Japan,1966,99595128
Japan,1967,100820021
Japan,1968,102120482
Japan,1969,103491930
Japan,1970,104925645
Japan,1971,106425269
Japan,1972,107977039
Japan,1973,109532878
Japan,1974,111030141
Japan,1975,112423055
Japan,1976,113690108
Japan,1977,114839120
Japan,1978,115890284
Japan,1979,116878026
Japan,1980,117827355
Japan,1981,118743180
Japan,1982,119615624
Japan,1983,120438087
Japan,1984,121199799
Japan,1985,121894038
Japan,1986,122519652
Japan,1987,123083205
Japan,1988,123594968
Japan,1989,124068903
Japan,1990,124515561
Japan,1991,124940015
Japan,1992,125341476
Japan,1993,125717524
Japan,1994,126063174
Japan,1995,126375466
Japan,1996,126654021
Japan,1997,126902628
Japan,1998,127127265
Japan,1999,127335858
Japan,2000,127533934
Japan,2001,127723513
Japan,2002,127902617
Japan,2003,128067794
Japan,2004,128213632
Japan,2005,128335767
